
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  23276 Services                   0      3,108 K
svchost.exe                   7372 Services                   0      3,832 K
obs64.exe                    21988 Console                    2    120,216 K
backgroundTaskHost.exe       15540 Console                    2      2,488 K
RuntimeBroker.exe             5084 Console                    2     11,144 K
Notepad.exe                  25472 Console                    2     26,876 K
backgroundTaskHost.exe       15208 Console                    2      1,648 K
RuntimeBroker.exe             3444 Console                    2      6,480 K
smartscreen.exe              14024 Console                    2     10,180 K
obs-ffmpeg-mux.exe           21872 Console                    2     11,144 K
conhost.exe                  23892 Console                    2      5,476 K
MySQLWorkbench.exe           14944 Console                    2     16,928 K
FMAPP.exe                    13684 Console                    2      7,020 K
Code.exe                     26220 Console                    2     48,284 K
Code.exe                     20768 Console                    2     14,024 K
Code.exe                     17860 Console                    2     91,188 K
Code.exe                     27128 Console                    2     20,172 K
Code.exe                       592 Console                    2    158,652 K
Code.exe                      7640 Console                    2     47,808 K
Code.exe                     24744 Console                    2     18,648 K
Code.exe                     17992 Console                    2     44,644 K
Code.exe                     19684 Console                    2     21,100 K
conhost.exe                   4772 Console                    2      5,980 K
powershell.exe               16212 Console                    2     22,508 K
nbcode64.exe                 19804 Console                    2    156,936 K
Code.exe                      8240 Console                    2     10,116 K
Code.exe                     17352 Console                    2      7,532 K
Code.exe                     19956 Console                    2     27,984 K
Code.exe                     13220 Console                    2      6,316 K
Code.exe                      8304 Console                    2     12,496 K
java.exe                     24260 Console                    2     83,968 K
java.exe                      3420 Console                    2    131,016 K
conhost.exe                  11000 Console                    2      5,944 K
conhost.exe                  19220 Console                    2      6,064 K
powershell.exe               22588 Console                    2     12,500 K
java.exe                     17656 Console                    2    236,352 K
cmd.exe                       2500 Console                    2      3,848 K
node.exe                      9156 Console                    2     25,716 K
cmd.exe                      24764 Console                    2      4,048 K
node.exe                     19640 Console                    2     19,016 K
node.exe                     15592 Console                    2    115,752 K
chrome.exe                    1672 Console                    2    264,672 K
chrome.exe                   12880 Console                    2      7,732 K
chrome.exe                   26816 Console                    2    182,444 K
chrome.exe                   13864 Console                    2     46,112 K
chrome.exe                    1968 Console                    2     21,504 K
chrome.exe                   12200 Console                    2    165,672 K
chrome.exe                   24520 Console                    2     82,376 K
chrome.exe                   22620 Console                    2     67,396 K
cmd.exe                      12788 Console                    2      3,872 K
conhost.exe                  26472 Console                    2     12,588 K
browserhost.exe               8620 Console                    2     14,384 K
svchost.exe                  24268 Services                   0      7,544 K
chrome.exe                   11928 Console                    2     18,752 K
chrome.exe                   11524 Console                    2    287,264 K
chrome.exe                   16652 Console                    2    187,236 K
chrome.exe                    1864 Console                    2     78,392 K
chrome.exe                   20700 Console                    2     20,376 K
chrome.exe                   16100 Console                    2    106,808 K
tasklist.exe                  5808 Console                    2      9,240 K
conhost.exe                   8472 Console                    2     10,512 K
